WSN,WS Name,Agency,County,Population Served, Service Connections, Total Funding Request,latitude,longitude, Completed Date
4510008,FALL RIVER VALLEY CSD,DISTRICT 02 - LASSEN,SHASTA,1535,482,8379.05,41.0120222,-121.4347671,11-18-2021,
3710008,FALLBROOK PUD,DISTRICT 14 - SAN DIEGO,SAN DIEGO,35237,9132,146935.09,33.3761512,-117.2536784,11-03-2021,
3310046,FARM MUTUAL W.C. (THE),DISTRICT 20 - RIVERSIDE,RIVERSIDE,4026,1265,17757.9,33.6354192,-117.2285819,10-06-2021,
5410004,FARMERSVILLE  CITY OF,DISTRICT 24 - TULARE,TULARE,11327,2736,27027.27,36.2973187,-119.21546,11-02-2021,
1210020,FIELDBROOK GLENDALE C.S.D.,DISTRICT 01 - KLAMATH,HUMBOLDT,1848,551,9506.92,40.9541978,-124.1095682,10-20-2021,
3110003,FORESTHILL PUBLIC UTILITY DIST,DISTRICT 02 - LASSEN,PLACER,6000,2032,62008.36,39.0196033,-120.8261763,10-05-2021,
1210006,FORTUNA  CITY OF,DISTRICT 01 - KLAMATH,HUMBOLDT,11649,4581,3550.61,40.5977187,-124.1531575,10-19-2021,
1510007,FRAZIER PARK PUD,DISTRICT 19 - TEHACHAPI,KERN,2691,1318,14581.96,34.8227556,-118.9448219,11-04-2021,
2700586,GABILAN WC,LPA57 - MONTEREY COUNTY,MONTEREY,535,162,9293.69,36.7137948,-121.653064,10-08-2021,
1210008,GARBERVILLE SANITARY DISTRICT,DISTRICT 01 - KLAMATH,HUMBOLDT,1500,442,14851.37,40.1000828,-123.7949199,10-07-2021,
5602108,GARDEN ACRES MUTUAL WATER CO,DISTRICT 06 - SANTA BARBARA,VENTURA,840,140,2281.45,34.226709,-119.1314089,10-19-2021,
1300018,GATEWAY,LPA43 - IMPERIAL COUNTY,IMPERIAL,1800,48,4383.89,32.79202,-115.5639692,10-13-2021,
0910013,GEORGETOWN DIVIDE PUD,DISTRICT 09 - SACRAMENTO,EL DORADO,9112,3733,42362.77,38.9068445,-120.8385462,10-15-2021,
1510045,GOLDEN HILLS CSD,DISTRICT 19 - TEHACHAPI,KERN,9640,2921,4229.26,35.13,-118.45,10-07-2021,
1900767,GOLDEN VALLEY MUNICIPAL WATER DISTRICT,LPA49 - LA COUNTY,LOS ANGELES,70,18,617.99,34.7968363,-118.8525648,11-08-2021,
4210004,GOLETA WATER DISTRICT,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,84462,16386,170696.81,34.4373313,-119.7849972,11-12-2021,
2710007,GONZALES  CITY OF,DISTRICT 05 - MONTEREY,MONTEREY,8549,1955,21638.7,36.5066295,-121.4443806,10-27-2021,
0910006,GRIZZLY FLATS COMMUNITY SERVIC,DISTRICT 09 - SACRAMENTO,EL DORADO,1300,621,12238.46,38.6361156,-120.5276331,10-29-2021,
3200107,GRIZZLY LAKE CSD-CROCKER/WELCH,DISTRICT 02 - LASSEN,PLUMAS,215,70,11156.96,39.8092584,-120.4992185,10-12-2021,
3200104,GRIZZLY LAKE CSD-DELLEKER,DISTRICT 02 - LASSEN,PLUMAS,657,350,10832.0,39.8092584,-120.4992185,10-05-2021,
4210003,GUADALUPE WATER DEPARTMENT,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,8123,2366,32166.41,34.9694849,-120.5688772,10-11-2021,
1700568,HARBOR VIEW MUTUAL WATER COMPANY,DISTRICT 03 - MENDOCINO,LAKE,550,246,1794.05,38.9880271,-122.7503821,10-18-2021,
4910005,HEALDSBURG  CITY OF,DISTRICT 18 - SONOMA,SONOMA,12104,4532,99785.6,38.6120011,-122.8736319,11-02-2021,
3710010,HELIX WATER DISTRICT,DISTRICT 14 - SAN DIEGO,SAN DIEGO,277294,56425,625479.81,32.7624023,-117.02879,11-03-2021,
3310018,HOME GARDENS COUNTY WD,DISTRICT 20 - RIVERSIDE,RIVERSIDE,3095,874,3329.37,33.8784722,-117.521447,11-10-2021,
4700513,HORNBROOK C.S.D.,DISTRICT 01 - KLAMATH,SISKIYOU,280,147,2483.58,41.907835,-122.5580872,10-28-2021,
1210013,HUMBOLDT BAY MWD,DISTRICT 01 - KLAMATH,HUMBOLDT,680,206,1814.23,40.8,-124.17,10-12-2021,
1210009,HUMBOLDT C.S.D.,DISTRICT 01 - KLAMATH,HUMBOLDT,19485,7670,150882.64,40.77,-124.14,10-15-2021,
3310019,IDYLLWILD WATER DISTRICT,DISTRICT 20 - RIVERSIDE,RIVERSIDE,2500,1665,47936.2,33.7608141,-116.7378585,10-25-2021,
1910051,INGLEWOOD- CITY  WATER DEPT.,DISTRICT 15 - METROPOLITAN,LOS ANGELES,86584,15795,946115.16,33.963722,-118.3544997,10-22-2021,
2110001,INVERNESS PUBLIC UTILITY DIST,DISTRICT 18 - SONOMA,MARIN,1445,516,1117.76,38.0966877,-122.8519656,11-02-2021,
3010092,IRVINE RANCH WATER DISTRICT,DISTRICT 08 - SANTA ANA,ORANGE,421715,124976,1851599.17,33.6670595,-117.7677791,10-21-2021,
5410019,IVANHOE PUBLIC UTILITY DIST,DISTRICT 24 - TULARE,TULARE,4495,1118,2957.68,36.3880599,-119.2182101,11-18-2021,
3610025,JOSHUA BASIN WATER DISTRICT,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,9665,4727,337262.9,34.134728,-116.3130661,11-15-2021,
