WSN,WS Name,Agency,County,Population Served, Service Connections, Total Funding Request,latitude,longitude, Completed Date
2410005,CITY OF LOS BANOS,DISTRICT 11 - MERCED,MERCED,41923,12792,N/A,37.0529504,-120.8539543,Have not applied
4610001,CITY OF LOYALTON,DISTRICT 02 - LASSEN,SIERRA,856,360,N/A,39.6529758,-120.2974199,Have not applied
2010002,CITY OF MADERA,DISTRICT 11 - MERCED,MADERA,66225,13913,N/A,36.9520618,-120.0519439,Have not applied
2410009,CITY OF MERCED,DISTRICT 11 - MERCED,MERCED,87110,22880,N/A,37.2910729,-120.5063862,Have not applied
4310005,CITY OF MILPITAS,DISTRICT 17 - SANTA CLARA,SANTA CLARA,74865,16479,N/A,37.4486911,-121.9101125,Have not applied
2910002,CITY OF NEVADA CITY,DISTRICT 09 - SACRAMENTO,NEVADA,3148,1252,N/A,39.2625216,-121.0195783,Have not applied
5010013,CITY OF NEWMAN-WATER DEPARTMENT,DISTRICT 10 - STOCKTON,STANISLAUS,11784,3525,N/A,37.2490019,-121.2168466,Have not applied
3010023,CITY OF NEWPORT BEACH,DISTRICT 08 - SANTA ANA,ORANGE,67134,26365,N/A,33.6314853,-117.939042,Have not applied
3010027,CITY OF ORANGE,DISTRICT 08 - SANTA ANA,ORANGE,140094,35462,N/A,33.7866661,-117.8413541,Have not applied
4310009,CITY OF PALO ALTO,DISTRICT 17 - SANTA CLARA,SANTA CLARA,69397,19002,N/A,37.4391089,-122.1111704,Have not applied
1010025,CITY OF PARLIER,DISTRICT 23 - FRESNO,FRESNO,15286,2663,N/A,36.6114319,-119.5347867,Have not applied
110008,CITY OF PLEASANTON,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,79201,22387,N/A,37.6764045,-121.859063,Have not applied
5210004,CITY OF RED BLUFF,DISTRICT 21 - VALLEY,TEHAMA,14076,4870,N/A,40.1756403,-122.2351656,Have not applied
4510005,CITY OF REDDING,DISTRICT 02 - LASSEN,SHASTA,87741,30073,N/A,40.5731946,-122.3815399,Have not applied
4110022,CITY OF REDWOOD CITY,DISTRICT 17 - SANTA CLARA,SAN MATEO,87023,23557,N/A,37.4874206,-122.2160169,Have not applied
3010036,CITY OF SAN CLEMENTE,DISTRICT 08 - SANTA ANA,ORANGE,51065,17647,N/A,33.4353909,-117.6289189,Have not applied
4310019,CITY OF SAN JOSE - NSJ/ALVISO,DISTRICT 17 - SANTA CLARA,SANTA CLARA,15300,2200,N/A,37.3012039,-121.8269362,Have not applied
3010030,CITY OF SAN JUAN CAPISTRANO,DISTRICT 08 - SANTA ANA,ORANGE,35191,12006,N/A,33.4924586,-117.6651645,Have not applied
1010029,CITY OF SANGER,DISTRICT 23 - FRESNO,FRESNO,25664,6973,N/A,36.706082,-119.5613484,Have not applied
3010038,CITY OF SANTA ANA,DISTRICT 08 - SANTA ANA,ORANGE,337716,45256,N/A,33.7438081,-117.8955604,Have not applied
4210010,CITY OF SANTA BARBARA WATER DEPARTMENT,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,94929,27252,N/A,34.4216024,-119.698259,Have not applied
4310012,CITY OF SANTA CLARA,DISTRICT 17 - SANTA CLARA,SANTA CLARA,129104,25828,N/A,37.3543331,-121.9547766,Have not applied
5610011,CITY OF SANTA PAULA,DISTRICT 06 - SANTA BARBARA,VENTURA,29321,7510,N/A,34.35,-119.06,Have not applied
4510006,CITY OF SHASTA LAKE,DISTRICT 02 - LASSEN,SHASTA,10657,3897,N/A,40.6915046,-122.3779053,Have not applied
1910154,CITY OF SOUTH PASADENA,DISTRICT 16 - CENTRAL,LOS ANGELES,26174,6193,N/A,34.115201,-118.1595586,Have not applied
3910012,CITY OF STOCKTON,DISTRICT 10 - STOCKTON,SAN JOAQUIN,183046,49167,N/A,37.9364801,-121.3259837,Have not applied
4310014,CITY OF SUNNYVALE,DISTRICT 17 - SANTA CLARA,SANTA CLARA,155567,28343,N/A,37.42,-122,Have not applied
3010046,CITY OF TUSTIN,DISTRICT 08 - SANTA ANA,ORANGE,68088,14108,N/A,33.7432553,-117.8195113,Have not applied
4810008,CITY OF VACAVILLE,DISTRICT 04 - SAN FRANCISCO,SOLANO,96735,29170,N/A,38.3455976,-121.905352,Have not applied
4810007,CITY OF VALLEJO,DISTRICT 04 - SAN FRANCISCO,SOLANO,118470,36655,N/A,38.1377605,-122.2411489,Have not applied
4810021,CITY OF VALLEJO-LAKES SYSTEM,DISTRICT 04 - SAN FRANCISCO,SOLANO,2800,854,N/A,38.1377605,-122.2411489,Have not applied
3010064,CITY OF WESTMINSTER,DISTRICT 08 - SANTA ANA,ORANGE,95256,20530,N/A,33.7534688,-118.0009049,Have not applied
5810004,CITY OF WHEATLAND,DISTRICT 21 - VALLEY,YUBA,3456,1219,N/A,39.0135201,-121.426913,Have not applied
610004,CITY OF WILLIAMS,DISTRICT 21 - VALLEY,COLUSA,5255,1481,N/A,39.1519176,-122.1474399,Have not applied
5710006,CITY OF WOODLAND,DISTRICT 09 - SACRAMENTO,YOLO,60978,16767,N/A,38.6783594,-121.7735488,Have not applied
1502056,CLARK STREET COMMUNITY WELL,DISTRICT 19 - TEHACHAPI,KERN,90,20,N/A,35.6283762,-118.4163103,Have not applied
4510016,CLEAR CREEK CSD-ANDERSON,DISTRICT 02 - LASSEN,SHASTA,8900,2366,N/A,40.4558311,-122.4550524,Have not applied
1910050,COMMERCE-CITY  WATER DEPT.,DISTRICT 22 - ANGELES,LOS ANGELES,4203,991,N/A,37.3667721,-121.9113979,Have not applied
3310037,CORONA  CITY OF,DISTRICT 20 - RIVERSIDE,RIVERSIDE,169868,43148,N/A,33.88796,-117.5729048,Have not applied
1910127,COVINA-CITY  WATER DEPT.,DISTRICT 07 - HOLLYWOOD,LOS ANGELES,33300,8571,N/A,34.0916793,-117.880878,Have not applied
3500911,CREEKBRIDGE MUTUAL WATER COMPANY,DISTRICT 05 - MONTEREY,SAN BENITO,69,22,N/A,36.8176248,-121.4011945,Have not applied
1910028,CRESCENTA VALLEY CWD,DISTRICT 15 - METROPOLITAN,LOS ANGELES,33203,8608,N/A,34.2223101,-118.2377234,Have not applied
5610058,CRESTVIEW MUTUAL WATER CO,DISTRICT 06 - SANTA BARBARA,VENTURA,2040,620,N/A,34.2406369,-119.0718737,Have not applied
3600220,CSA 42 ORO GRANDE,LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,544,147,N/A,34.51403,-117.36324,Have not applied
3600114,CSA 70 W-3 HACIENDA,LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,695,165,N/A,34.51403,-117.36324,Have not applied
